Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
All Occupations (00-0000),"3,196,750",0,$31.61 ,"$65,740 ",0.4,$15.66 ,$17.96 ,$23.47 ,$36.60 ,$54.48 ,"$32,560 ","$37,350 ","$48,810 ","$76,120 ","$113,320 ","1,000.00",1
Management Occupations (11-0000),"243,210",1.1,$61.52 ,"$127,960 ",1.3,$24.80 ,$35.25 ,$50.24 ,$75.51 ,$103.02 ,"$51,590 ","$73,320 ","$104,500 ","$157,060 ","$214,270 ",76.08,1.07
Chief Executives (11-1011),"3,100",7,$102.54 ,"$213,280 ",7.1,$36.32 ,$47.58 ,$72.40 ,(5) -,(5) -,"$75,540 ","$98,970 ","$150,590 ",(5) -,(5) -,0.97,0.71
General and Operations Managers (11-1021),"100,340",2.3,$57.78 ,"$120,180 ",2.9,$22.51 ,$29.55 ,$43.27 ,$65.77 ,$101.90 ,"$46,820 ","$61,470 ","$90,000 ","$136,800 ","$211,950 ",31.387,1.35
Legislators (11-1031),450,5.3,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,0.142,0.82
Advertising and Promotions Managers (11-2011),50,36.2,$59.42 ,"$123,600 ",22.8,$29.68 ,$38.51 ,$51.44 ,$78.11 ,(5) -,"$61,730 ","$80,090 ","$107,000 ","$162,460 ",(5) -,0.014,0.1
Marketing Managers (11-2021),"4,350",10.2,$72.91 ,"$151,660 ",4.1,$40.28 ,$50.31 ,$65.35 ,$84.65 ,$105.15 ,"$83,780 ","$104,650 ","$135,920 ","$176,060 ","$218,710 ",1.362,0.55
Sales Managers (11-2022),"13,390",4.5,$75.64 ,"$157,320 ",3,$31.66 ,$46.17 ,$62.35 ,$85.14 ,(5) -,"$65,850 ","$96,030 ","$129,690 ","$177,100 ",(5) -,4.188,1.07
Public Relations Managers (11-2032),"1,190",5.5,$57.68 ,"$119,970 ",2.5,$33.08 ,$39.96 ,$50.66 ,$69.32 ,$91.61 ,"$68,810 ","$83,120 ","$105,360 ","$144,180 ","$190,540 ",0.371,0.75
Fundraising Managers (11-2033),430,12,$58.53 ,"$121,750 ",3.6,$30.97 ,$37.88 ,$49.83 ,$73.79 ,$92.01 ,"$64,410 ","$78,790 ","$103,650 ","$153,490 ","$191,390 ",0.133,0.56
Administrative Services Managers (11-3012),"6,310",4.5,$53.76 ,"$111,830 ",1.6,$29.23 ,$37.35 ,$47.98 ,$64.31 ,$81.53 ,"$60,800 ","$77,690 ","$99,800 ","$133,760 ","$169,580 ",1.975,1.2
Facilities Managers (11-3013),"3,180",4.6,$48.10 ,"$100,050 ",1.5,$27.96 ,$34.77 ,$44.57 ,$58.71 ,$74.19 ,"$58,150 ","$72,320 ","$92,700 ","$122,110 ","$154,320 ",0.994,1.09
Computer and Information Systems Managers (11-3021),"14,530",5.1,$80.81 ,"$168,080 ",3.3,$47.81 ,$59.42 ,$77.36 ,$94.11 ,$108.62 ,"$99,450 ","$123,600 ","$160,900 ","$195,740 ","$225,920 ",4.546,1.09
Financial Managers (11-3031),"14,570",3.4,$73.12 ,"$152,100 ",2,$35.12 ,$48.07 ,$63.60 ,$85.50 ,(5) -,"$73,060 ","$99,990 ","$132,290 ","$177,830 ",(5) -,4.557,0.86
Industrial Production Managers (11-3051),"3,670",6.2,$68.30 ,"$142,060 ",10.3,$40.01 ,$49.28 ,$61.96 ,$78.77 ,$94.07 ,"$83,220 ","$102,510 ","$128,870 ","$163,840 ","$195,670 ",1.148,0.75
Purchasing Managers (11-3061),"1,840",3.8,$72.51 ,"$150,810 ",0.9,$43.86 ,$57.94 ,$67.01 ,$84.45 ,$102.71 ,"$91,230 ","$120,520 ","$139,370 ","$175,660 ","$213,650 ",0.576,1.09
"Transportation, Storage, and Distribution Managers (11-3071)","3,100",6,$51.87 ,"$107,900 ",1.9,$31.00 ,$38.73 ,$45.42 ,$61.37 ,$81.99 ,"$64,470 ","$80,550 ","$94,470 ","$127,640 ","$170,540 ",0.97,0.7
Human Resources Managers (11-3121),"3,870",3.9,$69.54 ,"$144,640 ",1.6,$38.68 ,$49.59 ,$62.66 ,$80.12 ,$104.77 ,"$80,450 ","$103,150 ","$130,340 ","$166,650 ","$217,920 ",1.212,0.87
Training and Development Managers (11-3131),"1,170",5.6,$65.42 ,"$136,070 ",6.7,$37.64 ,$45.37 ,$55.30 ,$74.28 ,$91.38 ,"$78,280 ","$94,370 ","$115,020 ","$154,500 ","$190,070 ",0.366,1.25
Construction Managers (11-9021),"9,080",6.9,$56.17 ,"$116,840 ",1.5,$38.29 ,$46.37 ,$52.94 ,$62.80 ,$76.92 ,"$79,650 ","$96,450 ","$110,120 ","$130,630 ","$159,990 ",2.84,1.26
