Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
All Occupations (00-0000),"860,880",0,$28.99 ,"$60,290 ",0.3,$13.51 ,$16.28 ,$22.05 ,$34.72 ,$51.30 ,"$28,100 ","$33,860 ","$45,870 ","$72,220 ","$106,690 ","1,000.00",1
Management Occupations (11-0000),"47,450",1.4,$58.31 ,"$121,270 ",0.8,$27.61 ,$37.54 ,$50.49 ,$67.89 ,$96.22 ,"$57,420 ","$78,070 ","$105,020 ","$141,200 ","$200,130 ",55.121,0.77
Chief Executives (11-1011),360,17.1,$78.61 ,"$163,510 ",7.3,$16.60 ,$52.21 ,$71.54 ,$93.99 ,(5) -,"$34,520 ","$108,600 ","$148,790 ","$195,510 ",(5) -,0.418,0.3
General and Operations Managers (11-1021),"16,550",2.3,$57.34 ,"$119,280 ",1.5,$23.64 ,$33.11 ,$48.17 ,$65.30 ,$97.70 ,"$49,170 ","$68,870 ","$100,200 ","$135,820 ","$203,220 ",19.22,0.83
Legislators (11-1031),60,19.9,(4) -,"$62,560 ",7.5,(4) -,(4) -,(4) -,(4) -,(4) -,"$25,850 ","$28,320 ","$34,630 ","$78,870 ","$132,520 ",0.068,0.4
Advertising and Promotions Managers (11-2011),90,19,$75.79 ,"$157,650 ",10.5,$23.73 ,$42.07 ,$79.59 ,$109.46 ,$111.58 ,"$49,350 ","$87,510 ","$165,540 ","$227,680 ","$232,090 ",0.106,0.77
Marketing Managers (11-2021),660,9.1,$63.02 ,"$131,080 ",5,$34.13 ,$41.85 ,$56.95 ,$76.69 ,$98.25 ,"$70,990 ","$87,040 ","$118,460 ","$159,510 ","$204,360 ",0.77,0.31
Sales Managers (11-2022),"1,270",8.2,$60.20 ,"$125,220 ",3,$31.25 ,$40.05 ,$51.12 ,$71.49 ,$101.04 ,"$64,990 ","$83,300 ","$106,330 ","$148,700 ","$210,160 ",1.472,0.38
Public Relations Managers (11-2032),190,14.8,$61.09 ,"$127,070 ",2.1,$38.63 ,$46.84 ,$54.08 ,$66.22 ,$95.56 ,"$80,350 ","$97,430 ","$112,490 ","$137,740 ","$198,760 ",0.219,0.44
Fundraising Managers (11-2033),70,22.8,$50.68 ,"$105,410 ",8.9,$21.43 ,$43.67 ,$47.00 ,$58.34 ,$80.39 ,"$44,580 ","$90,840 ","$97,750 ","$121,350 ","$167,210 ",0.086,0.36
