,Ins AIA,,,,Date Paid,Amount,Payee - Select,Payment Note,Date Paid,Date Paid,Amount,,,,
,Total RCV Claim,"$1,881,223.62 ",,Payment 1,10/17/24,"$30,000.00 ",Paid By Owner,,Change Order 1,,,,,,
,Total Due (Work Complete) - Billable,"$1,634,547.27 ",,Payment 2,11/6/24,"$44,662.67 ",Paid By Insurance,,Change Order 2,,,,,,
,ACV O&P,"$24,688.84 ",,Payment 3,11/12/24,"$75,756.66 ",Paid By Insurance,,Change Order 3,,,,,,
,ACV Rebate,"$98,755.36 ",,Payment 4,12/10/24,"$65,546.62 ",Paid By Insurance,,Change Order 4,,,,,,
,Work Complete,"$1,487,574.62 ",,Payment 5,1/24/25,"$514,704.55 ",Paid By Insurance,,Change Order 5,,,,,,
,Deposit Required,"$146,972.66 ",,Payment 6,3/24/25,"$297,946.32 ",Paid By Insurance,,Change Order 6,,,,,,
,Change Order,$0.00 ,,Payment 7,5/8/25,"$189,935.00 ",Paid By Insurance,,Change Order 7,,,,,,
,Total Invoiced to Date,"$1,623,877.39 ",,Payment 8,7/9/25,"$149,935.00 ",Paid By Insurance,,Change Order 8,,,,,,
,Contractor Total amount owed = Work Complete + ACV O&P,"$1,609,858.43 ",,Payment 9,9/5/20205,"$100,000.00 ",Paid By Insurance,,Change Order 9,,,,,,
,CO Credit Applied ,$0.00 ,,Payment 10,11/5/25,"$155,390.57 ",Paid By Insurance,,Change Order 10,,,,,,
,,,,,,"$1,623,877.39 ",,,,,,,,,
"$98,755.36 ",ACV Return,RCV,,"$1,881,223.62 ",RCV Grand Total,,,"$1,881,223.62 ",Subtotal for selection,BLDG LOCATION,,,,,
ACV Pay,% Complete,Due Payable,#,RCV,Group Code,Cat,Desc,Qty,ACV,Sel,Date,Time Stamp,Reimburish Owner,Change Orders - Customer Pay,Add to POL
$0.00 ,100%,$208.67 ,1,$208.67 ,UINT_1_ENTR2,WTR,Muck-out/Flood loss cleanup - Heavy,33.6,$208.67 ,MUCK+,6/19/25,25.12.13 | 5:51AM,,Install 2 ea lights,
$0.00 ,100%,$22.70 ,2,$22.70 ,UINT_1_ENTR2,WTR,Apply anti-microbial agent to the floor,33.6,$22.70 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$412.98 ,3,$412.98 ,UINT_1_ENTR2,FCV,Vinyl plank flooring - High grade,33.6,$375.57 ,PLK+,11/24/24,25.7.31 | 11:4AM,,,
$0.00 ,100%,$144.52 ,4,$144.52 ,UINT_1_ENTR2,FCW,Add for glued down vinyl flooring application over concrete,33.6,$144.52 ,GADDC,11/24/24,25.7.31 | 11:12AM,,,
$0.00 ,100%,$72.82 ,5,$72.82 ,UINT_1_ENTR2,WTR,Apply anti-microbial agent to part of the walls,107.7,$72.82 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$143.60 ,6,$143.60 ,UINT_1_ENTR2,CLN,Clean stud wall,107.7,$143.60 ,STD,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$176.05 ,7,$176.05 ,UINT_1_ENTR2,WTR,"Tear out wet drywall, no bagging, per LF - up to 4' tall",26.9,$176.05 ,DRYN4,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$592.99 ,8,$592.99 ,UINT_1_ENTR2,DRY,"1/2"" - drywall per LF - up to 4' tall",26.9,$518.87 ,LF>,11/24/24,25.7.31 | 11:3AM,,,Add 2 ea. sheetrock patches to POL for ceiling with texture and paint due to plumbing and electrial.
$0.00 ,100%,$189.94 ,9,$189.94 ,UINT_1_ENTR2,PNT,Seal/prime (1 coat) then paint (1 coat) part of the walls,134.6,$163.03 ,SP,11/24/24,25.7.31 | 11:4AM,,,
$0.00 ,100%,$24.58 ,10,$24.58 ,UINT_1_ENTR2,PNT,Scrape part of the walls & prep for paint,26.9,$24.58 ,SCRP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$273.92 ,11,$273.92 ,UINT_1_ENTR2,DRY,Texture drywall - heavy hand texture,134.6,$239.68 ,TEX+,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$292.49 ,12,$292.49 ,UINT_1_ENTR2,PNT,Paint the walls - one coat,215.3,$251.05 ,P,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$40.24 ,13,$40.24 ,UINT_1_ENTR2,WTR,Tear out baseboard- up to Cat 3,26.9,$40.24 ,BASEB,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$152.02 ,14,$152.02 ,UINT_1_ENTR2,FNC,"Baseboard - 3 1/4""",26.9,$135.55 ,B3,11/24/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$56.60 ,15,$56.60 ,UINT_1_ENTR2,PNT,Paint baseboard - two coats,26.9,$48.58 ,B2,11/24/24,25.7.31 | 11:5AM,,,
