#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Coverage,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Date,Unit Location,Source Name,Note 1
1,GENERAL,General,Permits & Fees (Paid Bill),0.00,Average,1.00,100.00,0.00,100.00,Building,0.00,$120.00,0.00,Percent,0.00,Yes,120.00,Yes,No,FEE,PDB,PAULGAGN,,2023-01-13,RWGC_20MARSH_MAINT,,
2,GENERAL,General,Commercial Supervision / Project Management - per hour,0.00,Average,20.00,"1,556.00",0.00,77.80,Building,0.00,"$1,867.20",0.00,Age/Condition,0.00,Yes,"1,867.20",Yes,No,LAB,SUPERC,PAULGAGN,,2023-01-13,RWGC_20MARSH_MAINT,,
3,GENERAL,General,Telehandler/forklift (per day) - no operator,0.00,Average,3.00,"1,350.00",0.00,450.00,Building,0.00,"$1,620.00",0.00,Age/Condition,0.00,Yes,"1,620.00",Yes,No,EQU,TELEHD,PAULGAGN,,2023-01-13,RWGC_20MARSH_MAINT,Price List Item,
4,GENERAL,General,Backhoe loader and operator,0.00,Average,12.00,"1,338.00",0.00,111.50,Building,0.00,"$1,605.60",0.00,Age/Condition,0.00,Yes,"1,605.60",Yes,No,EQU,BHOE,PAULGAGN,,2023-01-13,RWGC_20MARSH_MAINT,,
5,GENERAL,General,Temporary toilet (per month),0.00,Average,1.00,119.00,0.00,119.00,Building,0.00,$142.80,0.00,Age/Condition,0.00,Yes,142.80,Yes,No,TMP,TLT,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
6,GENERAL,General,"Dumpster load - Approx. 30 yards, 5-7 tons of debris",0.00,Average,1.00,615.00,0.00,615.00,Building,0.00,$738.00,0.00,Age/Condition,0.00,Yes,738.00,Yes,No,DMO,DUMP>,PAULGAGN,,2023-01-13,RWGC_20MARSH_MAINT,Price List Item,
7,BUILDING_ROO,Building Roof,Laminated - comp. shingle rfg. - w/out felt,0.00,Average,51.45,"11,117.83",0.00,216.09,Building,0.00,"$13,341.39",30.00,Age/Condition,0.00,Yes,"13,341.39",Yes,No,RFG,300S,PAULGAGN,,2022-10-12,RWGC_20MARSH_MAINT,Price List Item,
8,BUILDING_ROO,Building Roof,Re-nailing of roof sheathing - complete re-nail,5.00,Average,"5,144.71","1,028.94",0.00,0.20,Building,3.60,"$1,239.04",150.00,Age/Condition,34.30,Yes,"1,204.74",Yes,No,RFG,RENAIL,DSPINI,,2017-11-15,RWGC_20MARSH_MAINT,,
9,BUILDING_ROO,Building Roof,Drip edge,5.00,Average,291.28,646.64,0.00,2.22,Building,12.44,$790.88,35.00,Age/Condition,79.48,Yes,711.40,Yes,No,RFG,DRIP,DSPINI,,2017-11-15,RWGC_20MARSH_MAINT,,
10,BUILDING_ROO,Building Roof,Roofing felt - 30 lb.,5.00,Average,102.89,"5,923.38",0.00,57.57,Building,123.66,"$7,256.46",20.00,Age/Condition,"1,480.85",Yes,"5,775.61",Yes,No,RFG,FELT30,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,Price List Item,
11,BUILDING_ROO,Building Roof,Roofing felt - 30 lb. - Roof Wet Cement - FBC 903.2.1,0.00,Average,51.45,887.00,0.00,17.24,Building,62.09,"$1,138.91",20.00,Percent,0.00,Yes,"1,138.91",Yes,No,RFG,FELT30,PAULGAGN,,2022-10-17,RWGC_20MARSH_MAINT,,Roof cement application on all penetrations and felt edging FBC 2020
12,BUILDING_ROO,Building Roof,Asphalt starter - universal starter course,5.00,Average,291.28,801.02,0.00,2.75,Building,10.81,$974.19,20.00,Age/Condition,200.26,Yes,773.93,Yes,No,RFG,ASTR-,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,Price List Item,
13,BUILDING_ROO,Building Roof,Laminated - comp. shingle rfg. - w/out felt,0.00,Average,59.33,"19,074.00",0.00,321.49,Building,536.33,"$23,532.39",30.00,Age/Condition,0.00,Yes,"23,532.39",Yes,No,RFG,300S,PAULGAGN,,2023-01-13,RWGC_20MARSH_MAINT,,
