#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Unit,Coverage,Activity,Worker's Wage,Labor burden,Labor Overhead,Material,Equipment,Market Conditions,Labor Minimum,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Source Name,Date,Note 1,ADJ_SOURCE
1,UINT_1_ENTR2,Uint 1- Entry,Muck-out/Flood loss cleanup - Heavy,0.00,Average,33.57,173.89,0.00,5.18,SF,Dwelling,Remove,1.71,0.79,2.68,0.00,0.00,0.00,WTRMN-A,0.00,208.67,0.00,Percent,0.00,Yes,208.67,Yes,No,WTR,MUCK+,CBODDENC,,Price List Item,6/19/25,Supplemental Item: Revised pricing of item throughout estimate to match contractor's invoice.,
2,UINT_1_ENTR2,Uint 1- Entry,Apply anti-microbial agent to the floor,0.00,Average,33.57,18.80,0.00,0.56,SF,Dwelling,Replace,0.10,0.05,0.16,0.05,0.00,0.20,WTRMN-A,0.12,22.7,0.00,Percent,0.00,Yes,22.70,Yes,No,WTR,GRM,CBODDENC,,,11/24/24,Supplemental Item: Revised pricing of item throughout estimate to match contractor's invoice.,
3,UINT_1_ENTR2,Uint 1- Entry,Vinyl plank flooring - High grade,0.00,Average,33.57,333.02,0.00,9.92,SF,Dwelling,Remove and Replace,1.54,0.78,2.86,4.74,0.00,0.00,FCVMN-A,11.14,412.98,50.00,Percent,37.41,Yes,375.57,Yes,No,FCV,PLK+,CBODDENC,,Price List Item,11/24/24,,
4,UINT_1_ENTR2,Uint 1- Entry,Add for glued down vinyl flooring application over concrete,0.00,Average,33.57,117.83,0.00,3.51,SF,Dwelling,Remove and Replace,0.73,0.40,1.26,1.11,0.00,0.01,FCWMN-A,2.61,144.52,150.00,Percent,0.00,Yes,144.52,Yes,No,FCW,GADDC,CBODDENC,,Price List Item,11/24/24,,
5,UINT_1_ENTR2,Uint 1- Entry,Apply anti-microbial agent to part of the walls,0.00,Average,107.67,60.30,0.00,0.56,SF,Dwelling,Replace,0.10,0.05,0.16,0.05,0.00,0.20,WTRMN-A,0.38,72.82,0.00,Percent,0.00,Yes,72.82,Yes,No,WTR,GRM,CBODDENC,,,11/24/24,Supplemental Item: Revised pricing of item throughout estimate to match contractor's invoice.,
6,UINT_1_ENTR2,Uint 1- Entry,Clean stud wall,0.00,Average,107.67,119.51,0.00,1.11,SF,Dwelling,Replace,0.29,0.15,0.65,0.02,0.00,0.00,CLNMN-A,0.15,143.6,0.00,Percent,0.00,Yes,143.60,Yes,No,CLN,STD,CBODDENC,,,11/24/24,,
7,UINT_1_ENTR2,Uint 1- Entry,"Tear out wet drywall, no bagging, per LF - up to 4' tall",0.00,Average,26.92,146.71,0.00,5.45,LF,Dwelling,Remove,1.80,0.83,2.82,0.00,0.00,0.00,WTRMN-A,0.00,176.05,0.00,Percent,0.00,Yes,176.05,Yes,No,WTR,DRYN4,CBODDENC,,,11/24/24,,
8,UINT_1_ENTR2,Uint 1- Entry,"1/2"" - drywall per LF - up to 4' tall",0.00,Average,26.92,488.87,0.00,18.16,LF,Dwelling,Replace,3.20,1.56,10.60,2.80,0.00,0.00,DRYMN-A,5.28,592.99,150.00,Percent,74.12,Yes,518.87,Yes,No,DRY,LF>,CBODDENC,,,11/24/24,,
9,UINT_1_ENTR2,Uint 1- Entry,Seal/prime (1 coat) then paint (1 coat) part of the walls,0.00,Average,134.58,156.11,0.00,1.16,SF,Dwelling,Replace,0.25,0.13,0.55,0.23,0.00,0.00,PNTMN-A,2.17,189.94,15.00,Percent,26.91,Yes,163.03,Yes,No,PNT,SP,CBODDENC,,,11/24/24,,
10,UINT_1_ENTR2,Uint 1- Entry,Scrape part of the walls & prep for paint,0.00,Average,26.92,20.46,0.00,0.76,SF,Dwelling,Replace,0.20,0.10,0.45,0.01,0.00,0.00,PNTMN-A,0.02,24.58,15.00,Percent,0.00,Yes,24.58,Yes,No,PNT,SCRP,CBODDENC,,,11/24/24,,
11,UINT_1_ENTR2,Uint 1- Entry,Texture drywall - heavy hand texture,0.00,Average,134.58,226.09,0.00,1.68,SF,Dwelling,Replace,0.30,0.15,1.00,0.23,0.00,0.00,DRYMN-A,2.17,273.92,150.00,Percent,34.24,Yes,239.68,Yes,No,DRY,TEX+,CBODDENC,,Price List Item,11/24/24,,
12,UINT_1_ENTR2,Uint 1- Entry,Paint the walls - one coat,0.00,Average,215.33,241.17,0.00,1.12,SF,Dwelling,Replace,0.17,0.09,0.38,0.17,0.00,0.31,PNTMN-A,2.56,292.49,15.00,Percent,41.44,Yes,251.05,Yes,No,PNT,P,CBODDENC,,,11/24/24,,
13,UINT_1_ENTR2,Uint 1- Entry,Tear out baseboard- up to Cat 3,0.00,Average,26.92,33.11,0.00,1.23,LF,Dwelling,Remove,0.33,0.15,0.52,0.23,0.00,0.00,WTRMN-A,0.43,40.24,0.00,Percent,0.00,Yes,40.24,Yes,No,WTR,BASEB,CBODDENC,,,11/24/24,,
14,UINT_1_ENTR2,Uint 1- Entry,"Baseboard - 3 1/4""",0.00,Average,26.92,122.76,0.00,4.56,LF,Dwelling,Replace,0.69,0.32,1.47,2.08,0.00,0.00,FNCMN-A,3.92,152.02,150.00,Percent,16.47,Yes,135.55,Yes,No,FNC,B3,CBODDENC,,,11/24/24,,
