Code,Description,Tax Status,Contractor Supplied,Quantity,Unit,Unit Price,Total,Request third-party pricing
CLNPW,Pressure washing machine - variable pressure,Taxable,Yes,2.43980072,DA,101.164,246.82*,
DMODUMP>>,"Dumpster - Approx. 40 yds, 7-8 ton of debris",Taxable,Yes,50,LO,1027.4,"51,370.00",
FCCPS,Carpet power stretcher,Taxable,Yes,1.215554727,DA,40,48.62*,
FCCSEAMER,Carpet seaming iron,Taxable,Yes,1.215554727,DA,16.343,19.87*,
FCWNAILER,Hardwood flooring nailing tool,Taxable,Yes,9.18836,DA,40,367.53*,
MASMIX,"Cement/mortar mixer, 6 cubic foot",Taxable,Yes,5.053035818,DA,70.12,354.32*,
TILSAW,Ceramic tile saw,Taxable,Yes,25.30924351,DA,65,"1,645.10*",
WTRDHM>>,Dehumidifier unit - XLarge - high capacity,Taxable,Yes,144.004526,DA,127.266,"18,326.88*",
WTRDRY,Standard air mover - actual CFM > 850,Taxable,Yes,432,DA,29,"12,528.00",
APPDW,Dishwasher,Taxable,Yes,6,EA,534,"3,204.00",
APPDW+,Dishwasher - High grade,Taxable,Yes,6,EA,848.54,"5,091.24",
APPGD,Garbage disposer,Taxable,Yes,15,EA,149.99,"2,249.85",
APPRF22+,Refrigerator - top freezer - 22 to 24 cf - High grade,Taxable,Yes,1,EA,1100,"1,100.00",
APPRF25,Refrigerator - top freezer - 24 to 26 cf,Taxable,Yes,3,EA,1200,"3,600.00",
APPRF25+,Refrigerator - top freezer - 24 to 26 cf - High grade,Taxable,Yes,1,EA,1500,"1,500.00",
APPRFB25+,Refrigerator - bottom freezer - 25 to 30 cf - High grade,Taxable,Yes,2,EA,3000,"6,000.00",
APPRFS24,Refrigerator - side by side - 25 to 30 cf,Taxable,Yes,5,EA,1700,"8,500.00",
APPRFS24+,Refrigerator - side by side - 25 to 30 cf - High grade,Taxable,Yes,3,EA,2200,"6,600.00",
APPRGS,Range - slide in - electric,Taxable,Yes,8,EA,1276.36,"10,210.88",
APPRGS+,Range - slide in - electric - High grade,Taxable,Yes,7,EA,1777.91,"12,445.37",
CABAG++,Cabinetry - appliance garage - Premium grade,Taxable,Yes,2,EA,215,430,
CABAPPLIQ,"Applique - 6"" x 20"" (approx.) - wood",Taxable,Yes,1.25000449,EA,72.82,91.03,
CABCTFL,Flat-laid counter top - Average grade,Taxable,Yes,86.73329536,LF,29.54,"2,562.10*",
CABCTGM,Countertop - granite or marble slab - Average grade,Taxable,Yes,265.9665898,SF,30.27,"8,050.81*",
CABCTGM+,Countertop - granite or marble slab - High grade,Taxable,Yes,7.999346861,SF,46.63,373.01*,
CABCTQ+,Countertop - quartz/engineered stone - High grade,Taxable,Yes,9.999960865,SF,59.41,594.1,
CABCTQ++,Countertop - quartz/engineered stone - Premium grade,Taxable,Yes,18.00018598,SF,73.689,"1,326.42*",
CABCTSS,Countertop - solid surface - Average grade,Taxable,Yes,138.8282786,SF,37.662,"5,228.55*",
CABCTSSBS,"4"" Backsplash/sidesplash - solid surface",Taxable,Yes,67.7656721,LF,9.487,642.89*,
CABCTSSKIT,Countertop - solid surface - Seaming kit,Taxable,Yes,7.420770936,EA,19.08,141.59*,
CABDSLID++,"Drawer slides- 18""-21"" full ext. undermount soft close- pair",Taxable,Yes,9.174344879,EA,35.728,327.78*,
CABFH,Full height cabinetry,Taxable,Yes,4.000052991,LF,301.936,"1,207.76*",
CABFH+,Full height cabinetry - High grade,Taxable,Yes,8.999902406,LF,368.874,"3,319.83*",
CABFH++,Full height cabinetry - Premium grade,Taxable,Yes,2.000021052,LF,475.005,950.02*,
CABHING+,Cabinet cup hinge - 165 deg. - nickel finish w/baseplate,Taxable,Yes,9.416229678,EA,11.17,105.18*,
CABLAM,"Plastic laminate - general purpose (.039"") standard colors",Taxable,Yes,45.61319775,SF,2.57,117.23*,
CABLOW,Cabinetry - lower unit,Taxable,Yes,45.99938253,LF,223.493,"10,280.54*",
CABLOW+,Cabinetry - lower unit - High grade,Taxable,Yes,129.998594,LF,277.373,"36,058.10*",
CABLOW++,Cabinetry - lower unit - Premium grade,Taxable,Yes,34.00014873,LF,457.198,"15,544.80*",
CABPILL++,"Pilaster leg - custom turned - 36"" tall",Taxable,Yes,3.333345306,EA,147.5,491.67*,
CABSHOPC,Custom cabinet manufacturing shop rate,Taxable,Yes,89.28603498,HR,89.486,"7,989.85*",
CABSHPIN,Cabinet shelf pins - bag of 20,Taxable,Yes,1.172887159,BG,7.388,8.67*,
CABUP+,Cabinetry - upper unit - High grade,Taxable,Yes,1.000021475,LF,186.266,186.27,
CABVAN,Vanity,Taxable,Yes,32.00032697,LF,195.738,"6,263.68*",
CABVAN+,Vanity - High grade,Taxable,Yes,41.99955587,LF,283.703,"11,915.40*",
CABVAN++,Vanity - Premium grade,Taxable,Yes,4,LF,434.19,"1,736.76",
CLNBAG,Plastic restoration debris bags - 55 gal 6 mil (30 cnt. box),Taxable,Yes,8.0677787,BX,101.166,816.18*,
CLNBAG<,Plastic debris bag - 42-45 gal 3-4 mil (based on 50 cnt. bx),Taxable,Yes,0.359992369,BX,48.449,17.44,
CLNCHEM,General purpose cleaning chemical,Taxable,Yes,21.78380613,GL,18.26,397.77*,
CLNGRM,Anti-microbial agent,Taxable,Yes,33.47287782,GL,45.59,"1,526.03*",
CNCCEMENT,Portland cement,Taxable,Yes,2.040691481,BG,14.769,30.14*,
DORBF,"Single bifold door set - Colonist, 3-0 x 6-8",Taxable,Yes,47.00041727,EA,107.845,"5,068.76*",
DORBFLVR,"Single bifold door set - full louvered, 3-0 x 6-8",Taxable,Yes,13.00004305,EA,185.814,"2,415.59*",
DORBFMIR,"Single bifold mirrored door set, 3-0 x 6-8",Taxable,Yes,2.000007625,EA,262.294,524.59,
DORBPH,Bypass (sliding) door hardware,Taxable,Yes,0.999995441,EA,20.323,20.32,
