#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Coverage,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Date,Unit Location,Note 1,Source Name
1,GENERAL,General,Commercial Supervision / Project Management - per hour,0.00,Average,30.00,"2,411.10",0.00,80.37,Building,0.00,"$2,893.32",0.00,Age/Condition,0.00,Yes,"2,893.32",Yes,No,LAB,SUPERC,PAULGAGN,,2023-01-13,RWGC_20MARSH_CLUB,,
2,GENERAL,General,Temporary toilet (per month),0.00,Average,2.00,238.00,0.00,119.00,Building,0.00,$285.60,0.00,Age/Condition,0.00,Yes,285.60,Yes,No,TMP,TLT,PAULGAGN,,2022-10-20,RWGC_20MARSH_CLUB,,
3,GENERAL,General,"Dumpster load - Approx. 30 yards, 5-7 tons of debris",0.00,Average,2.00,"2,030.00",0.00,"1,015.00",Building,0.00,"$2,436.00",0.00,Age/Condition,0.00,Yes,"2,436.00",Yes,No,DMO,DUMP>,PAULGAGN,,2022-10-20,RWGC_20MARSH_CLUB,,
4,GENERAL,General,Telehandler/forklift (per day) - no operator,0.00,Average,6.00,"2,700.00",0.00,450.00,Building,0.00,"$3,240.00",0.00,Age/Condition,0.00,Yes,"3,240.00",Yes,No,EQU,TELEHD,PAULGAGN,,2023-01-13,RWGC_20MARSH_CLUB,,
5,GENERAL,General,Equipment Operator - per hour,0.00,Average,25.00,"1,875.00",0.00,75.00,Building,0.00,"$2,250.00",0.00,Age/Condition,0.00,Yes,"2,250.00",Yes,No,EQU,LAB,PAULGAGN,,2023-01-13,RWGC_20MARSH_CLUB,,
6,BUILDING_ROO,Building Roof,"Tear off, haul and dispose of tile roofing",0.00,Average,23.40,"6,288.75",0.00,268.75,Building,0.00,"$7,546.51",75.00,Age/Condition,0.00,Yes,"7,546.51",Yes,No,RFG,TILRMV,PAULGAGN,,2023-01-13,RWGC_20MARSH_CLUB,,
7,BUILDING_ROO,Building Roof,Re-nailing of roof sheathing - complete re-nail,33.00,Average,"4,679.77","1,731.51",0.00,0.37,Building,3.28,"$2,081.75",150.00,Age/Condition,380.93,Yes,"1,700.82",Yes,No,RFG,RENAIL,PAULGAGN,,2017-11-15,RWGC_20MARSH_CLUB,,
8,BUILDING_ROO,Building Roof,Roofing felt - 30 lb.,33.00,Average,93.60,"5,422.25",0.00,57.93,Building,112.56,"$6,641.79",20.00,Age/Condition,"2,711.13",Yes,"3,930.66",Yes,No,RFG,FELT30,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
9,BUILDING_ROO,Building Roof,Roofing felt - 30 lb. - Roof Wet Cement - FBC 903.2.1,0.00,Average,46.80,806.83,0.00,17.24,Building,56.48,"$1,035.97",20.00,Percent,0.00,Yes,"1,035.97",Yes,No,RFG,FELT30,PAULGAGN,,2022-10-17,RWGC_20MARSH_CLUB,Roof cement application on all penetrations and felt edging FBC 2020,
10,BUILDING_ROO,Building Roof,Drip edge,33.00,Average,359.94,"1,551.34",0.00,4.31,Building,31.50,"$1,899.42",35.00,Age/Condition,685.69,Yes,"1,213.73",Yes,No,RFG,DRIP,PAULGAGN,,2017-11-15,RWGC_20MARSH_CLUB,,
