#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Coverage,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Date,Unit Location,Source Name,Note 1
1,BUILDING_ROO,Building Roof,Laminated - comp. shingle rfg. - w/out felt,0.00,Average,3.48,290.51,0.00,83.48,Building,0.00,$348.61,30.00,Percent,0.00,Yes,348.61,Yes,No,RFG,300S,PAULGAGN,,2020-11-05,,RWGC_266_PH,
2,BUILDING_ROO,Building Roof,Roofing felt - 30 lb.,0.00,Average,6.96,405.49,0.00,58.26,Building,8.37,$496.64,20.00,Percent,0.00,Yes,496.64,Yes,No,RFG,FELT30,PAULGAGN,,2022-10-17,,RWGC_266_PH,"FL Code requires 2 layers 30# felt or synthetic, or ice and water shield"
3,BUILDING_ROO,Building Roof,Roofing felt - 30 lb. - Roof Wet Cement - FBC 903.2.1,0.00,Average,3.48,202.74,0.00,58.26,Building,4.19,$248.31,20.00,Percent,0.00,Yes,248.31,Yes,No,RFG,FELT30,PAULGAGN,,2022-10-17,,RWGC_266_PH,Roof cement application on all penetrations and felt edging FBC 2020
4,BUILDING_ROO,Building Roof,Drip edge,0.00,Average,76.38,331.49,0.00,4.34,Building,6.68,$405.81,35.00,Percent,0.00,Yes,405.81,Yes,No,RFG,DRIP,PAULGAGN,,2020-11-04,,RWGC_266_PH,
5,BUILDING_ROO,Building Roof,Re-nailing of roof sheathing - complete re-nail,0.00,Average,347.85,132.18,0.00,0.38,Building,0.24,$158.90,150.00,Percent,0.00,Yes,158.90,Yes,No,RFG,RENAIL,PAULGAGN,,2022-10-17,,RWGC_266_PH,
6,BUILDING_ROO,Building Roof,Asphalt starter - universal starter course,0.00,Average,76.38,213.10,0.00,2.79,Building,2.83,$259.11,20.00,Percent,0.00,Yes,259.11,Yes,No,RFG,ASTR-,PAULGAGN,,2020-11-04,,RWGC_266_PH,
7,BUILDING_ROO,Building Roof,Laminated - comp. shingle rfg. - w/ felt,0.00,Average,4.00,"1,504.00",0.00,376.00,Building,38.74,"$1,851.28",30.00,Percent,0.00,Yes,"1,851.28",Yes,No,RFG,300,PAULGAGN,,2020-11-05,,RWGC_266_PH,Architectural design is cut up and has significant waste... Budget 12% waste
8,BUILDING_ROO,Building Roof,Ridge cap - composition shingles,0.00,Average,15.00,162.30,0.00,10.82,Building,1.50,$196.58,30.00,Percent,0.00,Yes,196.58,Yes,No,RFG,RIDGC,PAULGAGN,,2020-11-04,,RWGC_266_PH,
9,BUILDING_ROO,Building Roof,Clean fascia,0.00,Average,76.38,68.74,0.00,0.90,Building,0.00,$82.48,0.00,Percent,0.00,Yes,82.48,Yes,No,CLN,FAC,PAULGAGN,,2020-11-07,,RWGC_266_PH,
10,BUILDING_ROO,Building Roof,"Prime & paint exterior fascia - wood, 4""- 6"" wide",0.00,Average,76.38,153.52,0.00,2.01,Building,0.96,$185.38,15.00,Percent,0.00,Yes,185.38,Yes,No,PNT,FACW,PAULGAGN,,2020-11-07,,RWGC_266_PH,
11,BUILDING_ROO,Building Roof,Soffit - vinyl,0.00,Average,76.38,433.08,0.00,5.67,Building,12.14,$534.26,50.00,Percent,0.00,Yes,534.26,Yes,No,SFG,SFTV,PAULGAGN,,2023-01-11,,RWGC_266_PH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
