#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Unit,Coverage,Activity,Worker's Wage,Labor burden,Labor Overhead,Material,Equipment,Market Conditions,Labor Minimum,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Date
1,,,Anchor - twist in ground type,0.00,Average,1.00,164.31,0.00,164.31,EA,,Remove and Replace,50.33,24.64,67.94,21.40,0.00,0.00,ACCMN-A,1.71,199.22,150.00,Percent,0.00,Yes,199.22,Yes,No,ACC,ANCR,PAULGAGN,,11/2/2020
3,,,Anchor - two crossed rods driven into the ground,0.00,Average,1.00,179.11,0.00,179.11,EA,,Remove and Replace,53.51,26.48,70.76,26.85,0.00,1.51,ACCMN-A,2.15,217.54,150.00,Percent,0.00,Yes,217.54,Yes,No,ACC,ANCR+,PAULGAGN,,11/2/2020
4,,,Axle - electric brake (with springs),0.00,Average,1.00,710.08,0.00,710.08,EA,,Remove and Replace,184.52,93.32,233.88,198.36,0.00,0.00,ACCMN-A,15.87,871.15,150.00,Percent,0.00,Yes,871.15,Yes,No,ACC,BAXL,PAULGAGN,,11/2/2020
5,,,Accessories - Mobile Home (Bid Item),0.00,Average,1.00,0.00,0.00,0.00,EA,,Replace,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACC,BIDITM,PAULGAGN,,11/2/2020
6,,,Axle - drag (with springs) - no brakes,0.00,Average,1.00,551.61,0.00,551.61,EA,,Remove and Replace,141.35,72.88,172.08,165.30,0.00,0.00,ACCMN-A,13.22,677.81,150.00,Percent,0.00,Yes,677.81,Yes,No,ACC,DAXL,PAULGAGN,,11/2/2020
7,,,Axle hubs - brake type,0.00,Average,1.00,413.35,0.00,413.35,EA,,Remove and Replace,100.10,52.89,115.36,145.00,0.00,0.00,ACCMN-A,11.60,509.93,150.00,Percent,0.00,Yes,509.93,Yes,No,ACC,DAXL-,PAULGAGN,,11/2/2020
8,,,Equalizers,0.00,Average,1.00,425.02,0.00,425.02,EA,,Remove and Replace,120.60,63.06,142.36,99.00,0.00,0.00,ACCMN-A,7.92,519.54,150.00,Percent,0.00,Yes,519.54,Yes,No,ACC,EQL,PAULGAGN,,11/2/2020
9,,,"Hitch - ""A"" frame style with coupler",0.00,Average,1.00,233.97,0.00,233.97,EA,,Remove and Replace,62.67,31.80,78.90,60.60,0.00,0.00,ACCMN-A,4.85,286.6,150.00,Percent,0.00,Yes,286.60,Yes,No,ACC,HTCH,PAULGAGN,,11/2/2020
10,,,Axle hubs - drag type,0.00,Average,1.00,256.50,0.00,256.50,EA,,Remove and Replace,74.95,38.93,89.82,52.80,0.00,0.00,ACCMN-A,4.22,312.86,150.00,Percent,0.00,Yes,312.86,Yes,No,ACC,HUBS,PAULGAGN,,11/2/2020
11,,,I beam repair,0.00,Average,1.00,266.62,0.00,266.62,EA,,Replace,91.78,43.44,131.40,0.00,0.00,0.00,ACCMN-A,0.00,319.94,150.00,Percent,0.00,Yes,319.94,Yes,No,ACC,IBEAM,PAULGAGN,,11/2/2020
12,,,Mobile Home Repair - per hour,0.00,Average,1.00,119.98,0.00,119.98,HR,,Replace,41.30,19.55,59.13,0.00,0.00,0.00,ACCMN-A,0.00,143.98,150.00,Percent,0.00,Yes,143.98,Yes,No,ACC,LAB,PAULGAGN,,11/2/2020
13,,,Mobile Home - General Laborer - per hour,0.00,Average,1.00,77.07,0.00,77.07,HR,,Replace,31.01,18.00,28.06,0.00,0.00,0.00,ACCMN-A,0.00,92.49,150.00,Percent,0.00,Yes,92.49,Yes,No,ACC,LABL,PAULGAGN,,11/2/2020
14,,,Mobile Home Accessory - Labor Minimum,0.00,Average,1.00,299.96,0.00,299.96,EA,,Replace,103.25,48.88,147.83,0.00,0.00,0.00,ACCMN-A,0.00,359.96,0.00,Percent,0.00,Yes,359.96,Yes,No,ACC,MN,PAULGAGN,,11/2/2020
