#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Coverage,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Date
1,,,Anchor - twist in ground type,0,Average,1,110.68,0,110.68,,1.4,134.5,150,Percent,0,Yes,134.5,Yes,No,ACC,ANCR,PAULGAGN,,11/2/20
3,,,Anchor - two crossed rods driven into the ground,0,Average,1,122.12,0,122.12,,1.94,148.86,150,Percent,0,Yes,148.86,Yes,No,ACC,ANCR+,PAULGAGN,,11/2/20
4,,,Axle - electric brake (with springs),0,Average,1,511.85,0,511.85,,15.56,632.91,150,Percent,0,Yes,632.91,Yes,No,ACC,BAXL,PAULGAGN,,11/2/20
5,,,Accessories - Mobile Home (Bid Item),0,Average,1,0,0,0,,0,0,0,Percent,0,Yes,0,Yes,No,ACC,BIDITM,PAULGAGN,,11/2/20
6,,,Axle - drag (with springs) - no brakes,0,Average,1,378.5,0,378.5,,10.66,467,150,Percent,0,Yes,467,Yes,No,ACC,DAXL,PAULGAGN,,11/2/20
7,,,Axle hubs - brake type,0,Average,1,274.54,0,274.54,,8.24,339.32,150,Percent,0,Yes,339.32,Yes,No,ACC,DAXL-,PAULGAGN,,11/2/20
8,,,Equalizers,0,Average,1,327.67,0,327.67,,9.6,404.73,150,Percent,0,Yes,404.73,Yes,No,ACC,EQL,PAULGAGN,,11/2/20
9,,,"Hitch - ""A"" frame style with coupler",0,Average,1,171.95,0,171.95,,5.11,212.46,150,Percent,0,Yes,212.46,Yes,No,ACC,HTCH,PAULGAGN,,11/2/20
10,,,Axle hubs - drag type,0,Average,1,187.23,0,187.23,,4.36,229.93,150,Percent,0,Yes,229.93,Yes,No,ACC,HUBS,PAULGAGN,,11/2/20
11,,,I beam repair,0,Average,1,176.17,0,176.17,,0,211.41,150,Percent,0,Yes,211.41,Yes,No,ACC,IBEAM,PAULGAGN,,11/2/20
12,,,Mobile Home Repair - per hour,0,Average,1,79.28,0,79.28,,0,95.14,150,Percent,0,Yes,95.14,Yes,No,ACC,LAB,PAULGAGN,,11/2/20
13,,,Mobile Home - General Laborer - per hour,0,Average,1,51.9,0,51.9,,0,62.28,150,Percent,0,Yes,62.28,Yes,No,ACC,LABL,PAULGAGN,,11/2/20
14,,,Mobile Home Accessory - Labor Minimum,0,Average,1,198.21,0,198.21,,0,237.85,0,Percent,0,Yes,237.85,Yes,No,ACC,MN,PAULGAGN,,11/2/20
15,,,"Outrigger - up to 30"" long",0,Average,1,184.27,0,184.27,,6.3,228.69,150,Percent,0,Yes,228.69,Yes,No,ACC,OTRG,PAULGAGN,,11/2/20
16,,,Rim - doughnut type with no center,0,Average,1,154.04,0,154.04,,4.09,189.75,150,Percent,0,Yes,189.75,Yes,No,ACC,RIM,PAULGAGN,,11/2/20
17,,,Spring - mono or single leaf only,0,Average,1,192.71,0,192.71,,5.48,237.83,150,Percent,0,Yes,237.83,Yes,No,ACC,SPNG,PAULGAGN,,11/2/20
18,,,Tire - 7 x 14.5 or 8 x 14.5 mounted,0,Average,1,143.29,0,143.29,,6.3,179.51,150,Percent,0,Yes,179.51,Yes,No,ACC,TIRE,PAULGAGN,,11/2/20
19,,,Tire and rim/wheel - 7 x 14.5 or 8 x 14.5,0,Average,1,201.96,0,201.96,,10.66,255.14,150,Percent,0,Yes,255.14,Yes,No,ACC,TIRE+,PAULGAGN,,11/2/20
20,,,Tongue jack,0,Average,1,176.72,0,176.72,,4.85,217.91,150,Percent,0,Yes,217.91,Yes,No,ACC,TNGJK,PAULGAGN,,11/2/20
21,,,Acoustic ceiling tile,0,Average,0,0,0,4.85,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,AV,PAULGAGN,,11/2/20
23,,,Acoustic ceiling tile - High grade,0,Average,0,0,0,5.67,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,AV+,PAULGAGN,,11/2/20
24,,,Acoustic ceiling tile - Premium grade,0,Average,0,0,0,6.16,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,AV++,PAULGAGN,,11/2/20
25,,,Tear off asbestos acoustic ceiling tile (no haul off),0,Average,0,0,0,5.28,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,AVARMV,PAULGAGN,,11/2/20
26,,,Ceiling panel - w/battens & staples- mobile home,0,Average,0,0,0,4.34,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,AVM,PAULGAGN,,11/2/20
27,,,Ceiling panel -High grade w/battens & staples- mobile home,0,Average,0,0,0,4.88,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,AVM+,PAULGAGN,,11/2/20
28,,,Ceiling panel -glued w/no battens & staples- mobile home,0,Average,0,0,0,5.7,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,AVM++,PAULGAGN,,11/2/20
29,,,Special - ballroom ceiling panels - Premium grade,0,Average,0,0,0,18.71,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,BALL++,PAULGAGN,,11/2/20
30,,,Acoustical Treatments (Bid Item),0,Average,1,0,0,0,,0,0,0,Percent,0,Yes,0,Yes,No,ACT,BIDITM,PAULGAGN,,11/2/20
31,,,Batten for ceiling panel - mobile home,0,Average,0,0,0,2.8,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,BTN,PAULGAGN,,11/2/20
32,,,Acoustical wall treatment - cloth - theater sound,0,Average,0,0,0,14.24,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,DRAPE,PAULGAGN,,11/2/20
34,,,Acoustic ceiling tile furring,0,Average,0,0,0,1.38,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,FUR,PAULGAGN,,11/2/20
35,,,Acoustical Treatments Installer - per hour,0,Average,0,0,0,100,,0,0,0,Percent,0,Yes,0,Yes,No,ACT,LAB,PAULGAGN,,11/2/20
36,,,Acoustical Treatments - General Laborer - per hour,0,Average,0,0,0,51.9,,0,0,0,Percent,0,Yes,0,Yes,No,ACT,LABL,PAULGAGN,,11/2/20
37,,,"Light diffusing panel (i.e., cracked ice)",0,Average,0,0,0,2.45,,0,0,10,Percent,0,Yes,0,Yes,No,ACT,LP,PAULGAGN,,11/2/20
38,,,"Light diffusing panel - High grade (i.e., mist white)",0,Average,0,0,0,2.65,,0,0,10,Percent,0,Yes,0,Yes,No,ACT,LP+,PAULGAGN,,11/2/20
39,,,"Light diffusing panel - Premium grade (i.e., egg crate)",0,Average,0,0,0,3.01,,0,0,10,Percent,0,Yes,0,Yes,No,ACT,LP++,PAULGAGN,,11/2/20
40,,,Acoustic Ceiling - Labor Minimum,0,Average,1,300.31,0,300.31,,0,360.37,0,Percent,0,Yes,360.37,Yes,No,ACT,MN,PAULGAGN,,11/2/20
41,,,Acoustical ceilings - metal tray type,0,Average,0,0,0,7.01,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,MTRAY,PAULGAGN,,11/2/20
42,,,Suspended ceiling grid - 2' x 4',0,Average,0,0,0,2.11,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,SG,PAULGAGN,,11/2/20
43,,,Suspended ceiling grid - High grade - 2' x 4',0,Average,0,0,0,2.22,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,SG+,PAULGAGN,,11/2/20
44,,,Suspended ceiling grid - Premium grade - 2' x 4',0,Average,0,0,0,2.43,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,SG++,PAULGAGN,,11/2/20
45,,,Suspended ceiling grid - 2' x 2',0,Average,0,0,0,2.43,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,SG2,PAULGAGN,,11/2/20
46,,,Suspended ceiling grid - High grade - 2' x 2',0,Average,0,0,0,2.55,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,SG2+,PAULGAGN,,11/2/20
47,,,Suspended ceiling grid - Premium grade - 2' x 2',0,Average,0,0,0,2.85,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,SG2++,PAULGAGN,,11/2/20
48,,,Suspended ceiling grid - Detach & reset,0,Average,0,0,0,1.92,,0,0,0,Percent,0,Yes,0,Yes,No,ACT,SG2RS,PAULGAGN,,11/2/20
49,,,Suspended ceiling grid - Reset/realign,0,Average,0,0,0,1.78,,0,0,0,Percent,0,Yes,0,Yes,No,ACT,SGRS,PAULGAGN,,11/2/20
50,,,Suspended ceiling tile - 2' x 4',0,Average,0,0,0,2.4,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,ST,PAULGAGN,,11/2/20
51,,,Suspended ceiling tile - Standard grade - 2' x 4',0,Average,0,0,0,2.02,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,ST-,PAULGAGN,,11/2/20
52,,,Suspended ceiling tile - High grade - 2' x 4',0,Average,0,0,0,3.14,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,ST+,PAULGAGN,,11/2/20
